term,definition,definitionVi,examples,phonetic,partOfSpeech,language,topics,status
snake,A long animal with no legs,Rắn,I see a snake.|The snake is an animal.,/sneɪk/,noun,en,animals,APPROVED
lizard,A reptile with four legs,Thằn lằn,I see a lizard.|The lizard is an animal.,/ˈlɪzərd/,noun,en,animals,APPROVED
iguana,A large tropical lizard,Cự đà,I see a iguana.|The iguana is an animal.,/ɪˈɡwɑːnə/,noun,en,animals,APPROVED
chameleon,A lizard that can change color,Tắc kè hoa,I see a chameleon.|The chameleon is an animal.,/kəˈmiːliən/,noun,en,animals,APPROVED
crocodile,A large reptile that lives near water,Cá sấu,I see a crocodile.|The crocodile is an animal.,/ˈkrɑːkəˌdaɪl/,noun,en,animals,APPROVED
alligator,A reptile similar to a crocodile,Cá sấu Mỹ,I see a alligator.|The alligator is an animal.,/ˈælɪˌɡeɪtər/,noun,en,animals,APPROVED
turtle,A reptile with a hard shell,Rùa,I see a turtle.|The turtle is an animal.,/ˈtʃɝːtəl/,noun,en,animals,APPROVED
tortoise,A land turtle,Rùa cạn,I see a tortoise.|The tortoise is an animal.,/ˈtɔːrtəs/,noun,en,animals,APPROVED
frog,An animal that lives on land and water,Ếch,I see a frog.|The frog is an animal.,/frɔːɡ/,noun,en,animals,APPROVED
toad,A type of frog,Cóc,I see a toad.|The toad is an animal.,/toʊd/,noun,en,animals,APPROVED
salamander,An amphibian with a long tail,Kỳ giông,I see a salamander.|The salamander is an animal.,/ˈsæləˌmændər/,noun,en,animals,APPROVED
newt,A small salamander,Sa giông,I see a newt.|The newt is an animal.,/nuːt/,noun,en,animals,APPROVED
whale,A very large sea animal,Cá voi,I see a whale.|The whale is an animal.,/weɪl/,noun,en,animals,APPROVED
dolphin,A very intelligent sea mammal,Cá heo,I see a dolphin.|The dolphin is an animal.,/ˈdɑːlfɪn/,noun,en,animals,APPROVED
shark,A large sea fish with sharp teeth,Cá mập,I see a shark.|The shark is an animal.,/ʃɑːrk/,noun,en,animals,APPROVED
jellyfish,A sea animal with a soft body and tentacles,Sứa,I see a jellyfish.|The jellyfish is an animal.,/ˈdʒɛliˌfɪʃ/,noun,en,animals,APPROVED
starfish,A sea animal shaped like a star,Sao biển,I see a starfish.|The starfish is an animal.,/ˈstɑːrˌfɪʃ/,noun,en,animals,APPROVED
seahorse,A small fish shaped like a horse,Cá ngựa,I see a seahorse.|The seahorse is an animal.,/ˈsiːˌhɔːrs/,noun,en,animals,APPROVED
octopus,A sea animal with eight arms,Bạch tuộc,I see a octopus.|The octopus is an animal.,/ˈɑːktəpəs/,noun,en,animals,APPROVED
squid,A sea animal similar to an octopus,Mực,I see a squid.|The squid is an animal.,/skwɪd/,noun,en,animals,APPROVED
crab,A sea animal with claws,Cua,I see a crab.|The crab is an animal.,/kræb/,noun,en,animals,APPROVED
